permission_level,resource_sensitivity,action_severity,task_relevance,sequence_deviation,repeated_action_count,time_since_prev,tool_rarity,step_position,is_destructive,cat_observe,cat_maintain,cat_report,cat_data,cat_admin,cat_destructive,label,action_type,session_id
0.35,0.15,0.05,0.934873726020086,0.6,0.0,0.12312701306127462,0.09090909090909083,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,CHECK_SERVICE_STATUS,synthetic-00000
0.7,0.45,0.4,0.7978733375102083,0.7,0.0,0.2333010623743949,0.7727272727272727,0.08333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,SCALE_SIMULATED_SERVICE,synthetic-00000
0.35,0.15,0.05,0.950262992743558,0.0,0.2,0.04498698247665399,0.09090909090909083,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,CHECK_SERVICE_STATUS,synthetic-00000
0.7,0.45,0.35,0.8202060273953021,0.6,0.0,0.23912318974415808,0.7272727272727273,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,RESTART_SIMULATED_SERVICE,synthetic-00000
0.35,0.15,0.05,0.8729062320908119,0.0,0.0,0.11416156141492212,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,CHECK_SERVER_HEALTH,synthetic-00001
0.35,0.15,0.05,0.8715723072955182,0.09999999999999998,0.0,0.32880039233869623,0.09090909090909083,0.08333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,CHECK_SERVICE_STATUS,synthetic-00001
0.7,0.45,0.35,0.8702448351984227,0.6,0.0,0.158091856056597,0.7272727272727273,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,RESTART_SIMULATED_SERVICE,synthetic-00001
0.35,0.15,0.05,1.0,0.0,0.2,0.0673401425727209,0.09090909090909083,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,CHECK_SERVICE_STATUS,synthetic-00001
0.35,0.25,0.05,0.8278807962225644,0.0,0.0,0.34408126766073527,0.09090909090909083,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,READ_LOG,synthetic-00001
0.7,0.45,0.35,0.7449775487320404,0.6,0.2,0.22995030020005694,0.7272727272727273,0.4166666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,RESTART_SIMULATED_SERVICE,synthetic-00001
0.35,0.2,0.1,0.7609487098572218,0.19999999999999996,0.0,0.17212927164306296,0.31818181818181823,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,CREATE_TICKET,synthetic-00001
0.35,0.15,0.05,0.8897978039402057,0.19999999999999996,0.4,0.34929253011395167,0.09090909090909083,0.5833333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,CHECK_SERVICE_STATUS,synthetic-00001
0.7,0.45,0.35,0.8344807085010276,0.6,0.4,0.29167633994547193,0.7272727272727273,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,RESTART_SIMULATED_SERVICE,synthetic-00001
0.35,0.15,0.05,0.9302115421461693,0.6,0.0,0.3510440111435989,0.09090909090909083,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,CHECK_SERVICE_STATUS,synthetic-00002
0.35,0.25,0.05,0.9150220241059688,0.0,0.0,0.199583777535093,0.09090909090909083,0.08333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,READ_LOG,synthetic-00002
0.35,0.2,0.1,0.8242720203699759,0.30000000000000004,0.0,0.2790642306051543,0.31818181818181823,0.16666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,CREATE_TICKET,synthetic-00002
0.35,0.15,0.05,0.9839610918710354,0.19999999999999996,0.2,0.28396747736344463,0.09090909090909083,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,CHECK_SERVICE_STATUS,synthetic-00002
0.35,0.15,0.05,0.9807891367295472,0.0,0.0,0.17246699531113752,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,CHECK_SERVER_HEALTH,synthetic-00003
0.35,0.2,0.2,0.8088520533430511,0.7,0.0,0.26799991194650075,0.4545454545454546,0.08333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,CLEAR_TEMP_FILES,synthetic-00003
0.35,0.15,0.05,0.9233961725840644,0.19999999999999996,0.2,0.3178666342336231,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,CHECK_SERVER_HEALTH,synthetic-00003
